material_uri,material_name,primary_category,secondary_category,rdfs_comment,description
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#GFRP,GFRP,Plastic,Composite,Glass Fiber Reinforced Polymer material.,Epoxy Glass Fiber Composite
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Block,Glass Block,Generic,Glass,Hollow glass unit used as a building material.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Brick,Glass Brick,Generic,Glass,Brick made of translucent or transparent glass.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Bronze_Glazing,Glass Bronze Glazing,Generic,Glass,Glass with bronze-tinted glazing.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Bronze_Glazing_Low_E,Glass Bronze Glazing Low E,Generic,Glass,Energy-efficient glass with low emissivity and bronze tint.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Cast_Clear,Glass Cast Clear,Generic,Glass,Transparent glass produced by casting.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Cast_Gray,Glass Cast Gray,Generic,Glass,Glass with gray tint produced by casting.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Clear_Glazing,Glass Clear Glazing,Generic,Glass,Clear glass used in glazing applications.,Glass - Soda Lime
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Clear_Glazing_Low_E,Glass Clear Glazing Low E,Generic,Glass,Energy-efficient transparent glass with low emissivity.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Clear_Glazing_Tempered,Glass Clear Glazing Tempered,Generic,Glass,Transparent glass that is tempered for strength.,Glass - Tempered
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Fiber_Reinforced_Gypsum,Glass Fiber Reinforced Gypsum,Plaster,Plaster,Gypsum material reinforced with glass fibers.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Frosted,Glass Frosted,Generic,Glass,Glass treated to appear frosted for privacy.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Green,Glass Green,Generic,Glass,Glass with green tint.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_Matte,Glass Matte,Generic,Glass,Glass treated to have a matte appearance.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glass_White_High_Luminance,Glass White High Luminance,Generic,Glass,White glass with high luminance.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glue_Laminated_Timber,Glue Laminated Timber,Wood,EngineeredWood,Engineered wood product made by gluing layers of wood together. For more details see European standard BS EN 14080:2013,SoftWood laminated veneer lumber
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glulam_24c,Glulam 24c,Wood,EngineeredWood,Glue-laminated timber with specific characteristics. For more details see European standard BS EN 14080:2013,Glue laminated timber GL24c  EN 1194
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glulam_24h,Glulam 24h,Wood,EngineeredWood,Glue-laminated timber with specific characteristics. For more details see European standard BS EN 14080:2013,Glue laminated timber GL24h  EN 1194
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glulam_28c,Glulam 28c,Wood,EngineeredWood,Glue-laminated timber with specific characteristics. For more details see European standard BS EN 14080:2013,Glue laminated timber GL28c  EN 1194
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glulam_28h,Glulam 28h,Wood,EngineeredWood,Glue-laminated timber with specific characteristics. For more details see European standard BS EN 14080:2013,Glue laminated timber GL28h  EN 1194
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glulam_32c,Glulam 32c,Wood,EngineeredWood,Glue-laminated timber with specific characteristics. For more details see European standard BS EN 14080:2013,Glue laminated timber GL32c  EN 1194
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glulam_32h,Glulam 32h,Wood,EngineeredWood,Glue-laminated timber with specific characteristics. For more details see European standard BS EN 14080:2013,Glue laminated timber GL32h  EN 1194
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glulam_36c,Glulam 36c,Wood,EngineeredWood,Glue-laminated timber with specific characteristics. For more details see European standard BS EN 14080:2013,Glue laminated timber GL36c  EN 1194
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Glulam_36h,Glulam 36h,Wood,EngineeredWood,Glue-laminated timber with specific characteristics. For more details see European standard BS EN 14080:2013,Glue laminated timber GL36h  EN 1194
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Gold,Gold,Metal,NonFerrous,Precious metal used in various applications.,Fine Gold 99.95%
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Granite_Cut_Polished,Granite Cut Polished,Generic,Stone,Polished cut granite material.,"Granite, average properties"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Granite_Cut_Rough,Granite Cut Rough,Generic,Stone,Rough-cut granite material.,"Granite, average properties"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Gypsum_Wall_Board,Gypsum Wall Board,Miscellaneous,GypsumWallBoard,Drywall or plasterboard made from gypsum.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Iron_Cast,Iron Cast,Metal,Iron,Iron that is cast into specific shapes or forms.,Cast Iron
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Iron_Ductile,Iron Ductile,Metal,Iron,Strong and flexible form of iron.,Ductile Cast Iron
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Iron_Wrought,Iron Wrought,Metal,Steel,Iron that is worked into specific shapes by forging.,"Iron, Wrought"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Jarrah,Jarrah,Wood,HardWood,Durable hardwood with a deep red color.,Jarrah
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Kerto_S_LVL,Kerto S LVL,Wood,EngineeredWood,Laminated veneer lumber known for its strength and stiffness.,Kerto-S  beam 21-90 mm EC5
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Laminate_Black,Laminate Black,Plastic,Thermoset,Black-colored laminated material.,Phenolic Resin
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Laminate_Blue_Matte,Laminate Blue Matte,Plastic,Thermoset,Matte finish blue laminated material.,Phenolic Resin
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Laminate_Ivory_Matte,Laminate Ivory Matte,Plastic,Thermoset,Matte finish ivory laminated material.,Phenolic Resin
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Laminate_Linen_Matte,Laminate Linen Matte,Plastic,Thermoset,Matte finish linen-patterned laminated material.,Phenolic Resin
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Laminate_Navy,Laminate Navy,Plastic,Thermoset,Navy-colored laminated material.,Phenolic Resin
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Laminate_Red_Matte,Laminate Red Matte,Plastic,Thermoset,Matte finish red laminated material.,Phenolic Resin
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Laminate_White,Laminate White,Plastic,Thermoset,White laminated material.,Phenolic Resin
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Laminate_White_Matte,Laminate White Matte,Plastic,Thermoset,Matte finish white laminated material.,Phenolic Resin
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Laminated_Veneer_Lumber,Laminated Veneer Lumber,Wood,EngineeredWood,Engineered wood product made from thin wood veneers.,Kerto-S  beam 21-90 mm EC5
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Lauan_Meranti,Lauan Meranti,Wood,HardWood,Tropical hardwood with a reddish-brown hue.,Red Meranti
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Lead,Lead,Metal,NonFerrous,Heavy metal with various applications.,Pure lead
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Leather_Dark_Brown,Leather Dark Brown,Leather,Leather,Tanned animal hide in dark brown color.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Leather_weathered,Leather weathered,Leather,Leather,Aged and worn leather material.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Limestone,Limestone,Generic,Stone,Sedimentary rock often used in construction.,Limestone
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Linen_Beige,Linen Beige,FabricOrTextile,FabricCotton,Beige-colored woven fabric made from flax fibers.,Woven cotton
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Linen_White,Linen White,FabricOrTextile,FabricCotton,White-colored woven fabric made from flax fibers.,Woven cotton
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#MDF_Medium_Density_Fiberboard,MDF Medium Density Fiberboard,Wood,EngineeredWood,Engineered wood product made from wood fibers and resin.,Grade H-1
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Magnesium,Magnesium,Metal,NonFerrous,Lightweight metal with various applications.,Rolled magnesium
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Mahogany,Mahogany,Wood,HardWood,High-quality hardwood with a reddish-brown color.,Honduras Mahogony
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Maple,Maple,Wood,HardWood,HardWood known for its fine grain and light color.,Sugar Maple
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Maple__Glossy,Maple  Glossy,Wood,HardWood,"Maple wood with a polished, glossy finish.",Sugar Maple
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Maple__Semigloss,Maple  Semigloss,Wood,HardWood,Maple wood with a semi-gloss finish.,Sugar Maple
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Marble,Marble,Generic,Stone,Metamorphic rock used for decorative purposes.,Marble
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Deck,Metal Deck,Metal,Steel,Corrugated steel sheets used for floor and roof decks.,Metal structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Firring,Metal Firring,Metal,Steel,Metallic framing or support structure.,Metal structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Furring,Metal Furring,Metal,Steel,Thin metal strips used for attaching materials.,Metal structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Paint_Finish_White_Matte,Metal Paint Finish White Matte,Metal,Steel,White matte paint finish on metal.,Metal structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Panel,Metal Panel,Metal,Steel,Metal sheet used for wall or roofing panels.,Metal structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Powder_Coated_White,Metal Powder Coated White,Metal,Steel,Metal coated with white powder for finish.,Metal structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Roofing,Metal Roofing,Metal,Aluminum,Roofing material made of metal sheets or tiles.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Sheet/Flashing,Metal Sheet/Flashing,Metal,Aluminum,Thin metal sheet used for flashing applications.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Sheeting_Rails,Metal Sheeting Rails,Metal,Steel,Metal rails used for various sheeting applications.,Metal structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Stud_Layer,Metal Stud Layer,Metal,Steel,Metal framework used in walls and ceilings.,Metal structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Metal_Trim,Metal Trim,Metal,Aluminum,Metal used for decorative or protective purposes.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Mirror,Mirror,Generic,Glass,Reflective surface made of glass with a reflective coating.,Soda Lime Glass
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Nitrogen,Nitrogen,Gas,Gas,Inert gas used to enhance thermal insulation in windows.,"Nitrogen, properties at atmospheric pressure"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Nylon_6,Nylon 6,Plastic,Thermoplastic,Synthetic polymer used in various applications.,Nylon 6
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Oak_Flooring_Espresso,Oak Flooring Espresso,Wood,HardWood,Oak wood flooring with an espresso-colored finish.,Northern Red Oak
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Oak_Red,Oak Red,Wood,HardWood,Oak wood with a reddish hue and distinctive grain.,Northern Red Oak
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Oak_White,Oak White,Wood,HardWood,Oak wood with a light color and prominent grain.,White Oak
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Oriented_Strand_Board,Oriented Strand Board,Wood,EngineeredWood,Engineered wood product made from compressed wood strands.,Aspen OSB
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Oxygen,Oxygen,Gas,Gas,Gas found in the atmosphere.,"Oxygen, properties at atmospheric pressure"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#PVC_Flexible,PVC Flexible,Plastic,Thermoplastic,Flexible form of PVC used in various applications.,Flexible PVC
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Palladium,Palladium,Metal,NonFerrous,Precious metal used in various applications.,Palladium
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Particleboard,Particleboard,Wood,EngineeredWood,Wood composite material made from wood particles.,Grade H-1
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Perlite,Perlite,Insulation,Insulation,Lightweight aggregate used in construction.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Phenolic_Resin,Phenolic Resin,Plastic,Thermoset,Synthetic resin used for insulation or coatings.,Phenolic Resin
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Pine,Pine,Wood,SoftWood,SoftWood with a pale color and even grain.,Shortleaf Pine
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Pine_Radiata,Pine Radiata,Wood,SoftWood,SoftWood known for its straight grain and uniform texture.,Radiata Pine
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Pine_Scots,Pine Scots,Wood,SoftWood,Common softwood with a light color and texture.,Scots Pine
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Pine_Southern,Pine Southern,Wood,SoftWood,"SoftWood with a fine, even texture.",Shortleaf Pine
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Plastic_Opaque_Black,Plastic Opaque Black,Plastic,Thermoplastic,Opaque black-colored plastic material.,Molded HDPE
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Plastic_Opaque_White,Plastic Opaque White,Plastic,Thermoplastic,Opaque white-colored plastic material.,Molded HDPE
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Plastic_Transparent,Plastic Transparent,Plastic,Thermoplastic,Transparent plastic material.,"Polymethylmethacrylate, Molding and Extrusion"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Platinum,Platinum,Metal,NonFerrous,Precious metal used in various applications.,Platinum
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Plywood_Sheathing,Plywood Sheathing,Generic,EngineeredWood,Plywood panels used as wall and roof sheathing.,Southern pine plywood
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polycarbonate_Clear,Polycarbonate Clear,Plastic,Thermoplastic,Transparent and durable synthetic material.,"Unfilled Polycarbonate, molded"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polyethylene_High_Density,Polyethylene High Density,Plastic,Thermoplastic,High-density polymer material.,Molded HDPE
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polyethylene_Low_Density,Polyethylene Low Density,Plastic,Thermoplastic,Low-density polymer material.,Molded LDPE
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polyisocyanate,Polyisocyanate,Plastic,Thermoset,Chemical compound used in foam insulation.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polyisocyanurate,Polyisocyanurate,Plastic,Thermoset,Insulation material containing isocyanurate.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polypropylene,Polypropylene,Plastic,Thermoplastic,Thermoplastic polymer used in various applications.,Plastic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polystyrene_Expanded,Polystyrene Expanded,Plastic,Expanded,Lightweight plastic used for insulation.,Expanded polystyrene foam
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polystyrene_High_Impact,Polystyrene High Impact,Plastic,Thermoplastic,Impact-resistant plastic material.,High impact polystyrene
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polytetrafluoroethylene,Polytetrafluoroethylene,Plastic,Thermoplastic,Nonstick synthetic material known as Teflon.,"Molded PTFE, Polytetrafluoroethylene"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polyurethane_Foam,Polyurethane Foam,Plastic,Thermoplastic,Foam insulation material.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Polyvinyl_Chloride_Rigid,Polyvinyl Chloride Rigid,Plastic,Thermoplastic,Rigid form of PVC used in construction.,"Rigid PVC, molded"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Poplar,Poplar,Wood,HardWood,Lightweight hardwood often used for furniture.,Yellow Poplar
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Porcelain_Ivory,Porcelain Ivory,Ceramic,Ceramic,Ceramic material fired at high temperatures.,"Porcelain, ordinary"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Porcelain_Linen,Porcelain Linen,Ceramic,Ceramic,Ceramic material with a linen-like texture.,"Porcelain, ordinary"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Quartz_Countertop_White,Quartz Countertop White,Plastic,Thermoplastic,White-colored quartz material for countertops.,"Cast acrylic resin, mineral filled"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rebar_ASTM_A615_Grade_40,Rebar ASTM A615 Grade 40,Metal,Steel,Reinforcing bar with specific characteristics.,"ASTM A615 billet steel, Fy 40ksi"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rebar_ASTM_A615_Grade_60,Rebar ASTM A615 Grade 60,Metal,Steel,Reinforcing bar with specific characteristics.,"ASTM A615 billet steel, Fy 60ksi"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rebar_ASTM_A615_Grade_75,Rebar ASTM A615 Grade 75,Metal,Steel,Reinforcing bar with specific characteristics.,"ASTM A615 billet steel, Fy 75ksi"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rebar_ASTM_A706_Grade_60,Rebar ASTM A706 Grade 60,Metal,Steel,Reinforcing bar with specific characteristics.,"ASTM A615 billet steel, Fy 60ksi"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Redwood,Redwood,Wood,SoftWood,Durable softwood with a reddish hue.,California Redwood
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Render_Beige_Smooth,Render Beige Smooth,Plaster,Plaster,Smooth beige render used for finishing surfaces.,Cement Plaster
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Render_Beige_Textured,Render Beige Textured,Plaster,Plaster,Textured beige render used for finishing surfaces.,Cement Plaster
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Render_Tan_Textured,Render Tan Textured,Plaster,Plaster,Textured tan render used for finishing surfaces.,Cement Plaster
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rigid_insulation,Rigid insulation,Plastic,Expanded,Insulation material with high thermal resistance.,Expanded polystyrene foam
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rock_Wool,Rock Wool,Insulation,Insulation,Insulation material made from spun rock fibers.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Roofing,Roofing,Asphalt,AsphaltShingle,Material used for roofing applications.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Roofing_Metal,Roofing Metal,Metal,Aluminum,Metal used in roofing applications.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Roofing_Slate,Roofing Slate,Generic,Slate,Natural stone used for roofing applications.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Roofing_Standing_Seam,Roofing Standing Seam,Metal,Aluminum,Roofing material with vertical seams.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Roofing_Tile,Roofing Tile,Tile,Tile,Tile used for roofing purposes.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rubber_Black,Rubber Black,Plastic,Elastomer,Black-colored elastic material.,Natural rubber
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rubber_Butyl,Rubber Butyl,Plastic,Elastomer,Butyl rubber material used for sealing.,Butyl rubber
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rubber_Natural,Rubber Natural,Plastic,Elastomer,Natural rubber material with elasticity.,Natural rubber
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rubber_Nitrile,Rubber Nitrile,Plastic,Elastomer,Synthetic rubber material resistant to oil.,Nitrile rubber
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Rubble,Rubble,Generic,Stone,Irregularly shaped stones used for wall construction.,Limestone
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Semirigid_insulation,Semirigid insulation,Insulation,Insulation,Insulation material with intermediate rigidity.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Siding_Clapboard,Siding Clapboard,Wood,SoftWood,Type of wood siding often used in residential construction.,Sitka Spruce
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Silver,Silver,Metal,NonFerrous,Precious metal used in various applications.,Silver
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Slab_Screed,Slab Screed,Concrete,Standard,Layer of material used to level a surface.,Default Concrete f'c=3.5 ksi
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#SoftWood_Lumber,SoftWood Lumber,Wood,SoftWood,"Lumber from coniferous trees, typically softer wood.",Default softwood - Spruce-Pine-Fir
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Softwood_Finish,SoftWood Finish,Wood,SoftWood,Wood with a finish often used in construction.,Eastern White Pine
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Solid_Surface_Countertop,Solid Surface Countertop,Plastic,Thermoplastic,Synthetic countertop material.,"Cast acrylic resin, mineral filled"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Spruce,Spruce,Wood,SoftWood,Lightweight softwood with a light color.,Sitka Spruce
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Stainless_Steel_AISI_304,Stainless Steel AISI 304,Metal,Steel,Specific type of stainless steel with properties.,"Stainless Steel, 18/8"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Stainless_Steel_Brushed,Stainless Steel Brushed,Metal,Steel,Stainless steel with brushed finish.,"Stainless Steel, 18/8"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Stainless_Steel_Polished,Stainless Steel Polished,Metal,Steel,Stainless steel with polished finish.,"Stainless Steel, 18/8"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_43245,Steel 43245,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 245 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_43265,Steel 43265,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 265 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_43275,Steel 43275,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 275 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_43355,Steel 43355,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 355 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_45345,Steel 45345,Metal,Steel,Specific type of steel with defined properties.,High Strength steel Fy 345 MPa
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_50325,Steel 50325,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 325 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_50340,Steel 50340,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 340 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_50355,Steel 50355,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 355 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_51275,Steel 51275,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 275 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_55415,Steel 55415,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 415 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_55430,Steel 55430,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 430 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_55450,Steel 55450,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 450 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_64460,Steel 64460,Metal,Steel,Specific type of steel with defined characteristics.,"Steel, Fy 460 MPa"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_AISI_1015,Steel AISI 1015,Metal,Steel,Specific type of steel with defined characteristics.,AISI 1015 steel
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_AISI_1022,Steel AISI 1022,Metal,Steel,Specific type of steel with defined characteristics.,AISI 1022 steel
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Steel_ASTM_A242,Steel ASTM A242,Metal,Steel,Specific type of steel with defined characteristics.,"ASTM A242 steel, Fy 42 ksi, corrosion resisitant"
